Staging/tblnIoNrXu0xn7UJA.csv,collection,id,airtable_id,belongs_to_collection
,House on Haunted Hill Collection,248339.0,recAJSIr9sxI0YOrV,"Return to House on Haunted Hill, House on Haunted Hill"
,Dr. Who Collection,275873.0,recAJeOpr28KAXRxX,Daleks' Invasion Earth: 2150 A.D.
,Star Wars: The Ewok Adventures Collection,133830.0,recAM1FwbFWqd3D2Q,Ewoks: The Battle for Endor
,Chaar Sahibzaade Collection,441179.0,recAQ80lmfUsrw5SH,
,Saturday Night Fever Collection,288280.0,recAXErqmxRYSEx95,"Saturday Night Fever, Staying Alive"
,Godzilla (Heisei) Collection,374511.0,recAZrFQ6qcdQlWwk,Godzilla vs. Destoroyah
,Now You See Me Collection,382685.0,recAai3CQdB0YFMZg,
,Rosemary's Baby Collection,264338.0,recAkjuYf4RkSBYaC,Look What's Happened to Rosemary's Baby
,Indiana Jones Collection,84.0,recAlcEgcgEOPqVw1,
,Hot Tub Time Machine Collection,313576.0,recAmXGzJhbo0aI6g,
,Elling Collection,12075.0,recAq2Arh8YNThCWX,Elsk meg i morgen
,Six Degrees of Celebration Collection,107465.0,recAwbGDBfaCTRrME,
,Beverly Hills Cop Collection,85861.0,recAwpSSGdqYCyHQu,
,AVP Collection,115762.0,recAyXK2a7jYjqJ2k,
,Phobia Collection,437439.0,recAz8m5J7mWEBD84,
,Shanghai Noon Collection,59567.0,recAzKdr1lF6bxs8e,
,The Olsen Gang Collection,11118.0,recBCNQ7xcfSUUf7A,"The Olsen Gang Sees Red, The Olsen Gang, The Olsen Gang in Jutland, The Olsen Gang on the Track"
,Garfield (Animation) Collection,373918.0,recBEugw24ZQkTMQd,Garfield Gets Real
,Cinderella Story Collection,437451.0,recBHpwBgnK2Xqz8r,"Another Cinderella Story, A Cinderella Story"
,James Bond Collection,645.0,recBI84dHrNxflbV0,"Casino Royale, Quantum of Solace"
,Basic Instinct Collection,86336.0,recBJ71U1U9tMmHdq,
,Inuyasha Collection,53154.0,recBJWW2sHnqL5LbM,
,Stir of Echoes Collection,143757.0,recBK3Z3QIw6UqQGc,Stir of Echoes
,Kindergarten Cop Collection,397444.0,recBLX5X2drBrq6Ao,
,Flowers in the Attic Collection,293981.0,recBMyP1JBjwoJWEK,
,Dark Rising Collection,128123.0,recBPZGkZlhGRrOAB,
,Dreileben,165131.0,recBPy26PRPQb5MoD,
,Ten Minutes Older... (Collection),369005.0,recBR4Z7jmcTL4N4c,
,The Vampire Chronicles,217704.0,recBScaRic0QiLfZ6,Queen of the Damned
,Горько! (Коллекция),393744.0,recBVxxEu9XLgMK3a,
,DragonHeart Collection,169452.0,recBWGL5xA0SdRcBX,DragonHeart: A New Beginning
,The Storm Riders Collection,146532.0,recBWcIwznB7w29tp,
,Tainá,429231.0,recBYveh5afxVVV6d,
,Ride Along Collection,376650.0,recBfy6wAxRtRqtc0,Ride Along
,A Man Called Horse Collection,383632.0,recBg8p1dkYCqWmM9,A Man Called Horse
,Tarzan (Animation) Collection,106768.0,recBiE5DeJEp54yRj,"Tarzan II, Tarzan & Jane"
,Smokin' Aces Collection,96680.0,recBk4tbTkNODFAqA,
,Henry: Portrait of a Serial Killer Collection,143755.0,recBrZw0wIVXRJaew,Henry: Portrait of a Serial Killer
,Turkish Star Wars,423877.0,recBywkROcmXfUqGx,
,The Six Million Dollar Man Collection,384040.0,recC0xpfIrN8KXwt2,
,I Know What You Did Last Summer Collection,3601.0,recC3k1Bcuu9dbhep,
,Class of 1999 Collection,164397.0,recC4ccEhk9Y3z45V,Class of 1984
,"Silent Night, Deadly Night Collection",256296.0,recC4wK64AhaVwOWt,
,The Incredibles Collection,468222.0,recC8LRmbkNndiKEB,
,The Maze Runner Collection,295130.0,recCCrwb2L0DA5Yis,
,Hidden Dragon Collection,,recCDawc26PznNSqk,"""Crouching Tiger, Hidden Dragon"""
,Balto Collection,117693.0,recCEI3BdksId4EZ6,
,Bulldog Drummond (Richard Johnson) Collection,460334.0,recCFy8euI4UqgXYB,
,Alpha and Omega Collection,241729.0,recCLIpfMMiKKC1bk,Alpha and Omega
,Mannequin Collection,124951.0,recCMCYGwhEVJw9rk,Mannequin
,Klovn,441682.0,recCPX12FTpLthcqr,
,The Art of War Collection,25410.0,recCUt91dejaaz7CG,"The Art of War II: Betrayal, The Art of War"
,Space Dogs,265865.0,recCVVF17mGZpIq2e,
,Batman: The Dark Knight Returns Collection,248534.0,recCVewJXVxM2T1H0,"""Batman: The Dark Knight Returns, Part 2"", ""Batman: The Dark Knight Returns, Part 1"""
,Legally Blonde Collection,86024.0,recCVmt79nZ9P5lMR,"Legally Blondes, ""Legally Blonde 2: Red, White & Blonde"""
,She Collection,123717.0,recCWyiWmqjlc6q6n,
